"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bangladesh","BGD","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","13.0466082591986","13.682972008726","12.721089004775","12.4512643375286","15.6958712890363","19.970054937077","19.2818386551984","17.9833288464203","17.9185228344897","20.1958493243101","18.6408188549024","","17.885666971444","14.3318908401949","12.6443668272252","11.0308885097812","11.8412193444076","13.6091841817934","10.4488155205505","10.0919399058308","8.36005793473836","7.22967218283357","","7.61291665750379","6.06966941597294","6.82145396379277","5.78812281014859","6.18429964017595","6.22182176823361","5.92828842730961","6.51994522760569","4.81908048002957","3.694887123026","4.0297492269178","3.85995629311679","2.64399336692833","3.95020479098769","","2.70599278676995","","","","","","","",
"Bulgaria","BGR","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0976481995934","13.6333564721793","15.0285391780459","15.2732454171347","9.81157846134688","9.62336004765464","12.1290633033382","10.1597906408755","10.4156798737148","10.4891474418232","8.57102960330437","8.64151957315366","12.4151302731167","16.6173779930616","16.0696113909687","15.5350351827667","15.3308528498637","17.5854219024227","16.1210388969357","15.5056715967802","16.6825842328088","14.6093424104943","14.6884043068832","15.6613904116006","16.5881223413763","16.8883449836693","16.745269858039",
"Bahrain","BHR","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","5.22919530470648","3.51976453426907","3.93460109150994","4.19611244969906","2.05046494454718","1.51149999743461","1.68170581771421","1.47388331156984","1.23719245806845","3.14346284693357","8.73438288568948","1.28493243784552","1.90803705995412","0.997902517189235","1.00372310568035","0.949265109699448","1.15349898050248","1.09329584895597","","","","","","","1.98916993695607","2.41019203635101","5.69335841306155","","","","0.637048360183334","0.607900146508297","0.631869078270411","0.716924733585394","0.550728763595194","0.437185084798505","0.368366737292636","0.383930401313168","2.05782511358369","3.4263494846324","1.85128002123855","1.6908747231585","2.59250915231417","3.93128224929254","2.33100664518767","2.81771917557859","3.27197124814506","3.45574439024191","3.41910876488868","4.33895313542505","5.09456805980764","3.53102782070672","3.92898426111578",
"Bahamas, The","BHS","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","1.82818980901873","1.60660232433042","1.91164760001034","","","","0.681927116500522","1.42602960111996","2.19669263705468","1.39164648739183","2.46843380310754","4.37261152178241","5.23939033063881","6.02768875358885","","","","","","","","","","69.558291203307","60.9904779993233","61.3992633648465","49.4281028721858","52.6657726456152","57.4053506810893","55.6620392908941","50.2385175518797","35.128868037723","34.3062877689831","28.4346298363012","30.882970944556","20.1351959402316","25.1472710832841","23.5093356599195","24.3746097141106","25.173494542978","20.1237516345798","28.3012610920937","18.6919836309395","18.2280207783248","16.0964878499447","15.6364372037701","10.119402105724","","67.0734515543408",
"Bosnia and Herzegovina","BIH","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.54806409946549","4.38171643800732","5.77060067629833","4.93242033641662","5.3923927160868","5.97800447728258","7.69296413722327","7.32414834232937","6.81959576691227","7.43034706044361","7.47114351793027","7.02059195323859","8.53679454224331","9.35112492580468","9.09401445658852","6.90582271581282","6.8996562268238","8.09876534054127","6.36196082125936","5.85170827394196",
"Belarus","BLR","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5243620082277","7.46625753820725","6.75194129524807","8.01083906303938","7.67726787178316","8.26326575107411","8.34876875873583","8.25631331486834","7.48674089092106","7.25797708562682","6.73737078544986","10.6941241591219","12.6196412941435","9.15429459689099","9.81015256534774","14.3788983072572","14.780931964959","15.6383741109368","17.0609156606789","16.5070509744532","14.9639092896645","16.1908186479684","18.9034385202924","16.6249564805082","",
"Belize","BLZ","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","77.4176061719352","63.2023818051989","61.8782557270823","65.1415501400646","76.2301564653029","79.420260420138","","79.8062427510002","99.4513484074607","136.10844042412","100.846034616378","88.7008459331704","85.492001624715","","","","","78.4117555680063","76.7413114955541","79.4543536143007","86.4665068628086","79.3930088188427","85.4918200726032","83.7497257898837","10.9040074851746","87.2591593095688","34.5868484402732","21.5233339965966","89.6409273349605","87.9603526698208","87.2984333976843","73.7967625330456","65.6391885748903","57.2894497177216","71.9313381923723","59.7261439051112","52.114312438494","68.6168124724481","76.9446319256538","63.9637808245886","70.4344177934583","71.214261663445","87.4463019382702","87.0866824046269","89.8079469011395","93.6149343483591","92.6602481632921","93.9316752657423",
"Bermuda","BMU","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","5.62536381161712","10.9505209597851","8.40812038665264","5.14441195704989","0.889426453667138","0.815698038938417","0.544185088408002","0.439038822256064","0.360193592111094","0.922847028736265","2.28238705257092","2.15929735343872","2.42686507887694","0.944943748615099","1.69705357188268","","","","","","","","","0.709051045901296","1.50226705481066","","","","","","","","","","","","","","","","","23.5409415200407","1.99308622745586","23.7966141290375","44.8376153822066","66.14360588401","47.7541537055429","19.299310308708","14.4770501143536","16.6635223911849","8.08058554659981","8.26215839849119",
"Bolivia","BOL","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","3.42916954946345","2.26594951762439","2.53191483059681","1.80685151846837","4.57163660943014","4.7707549701487","2.62195117091016","2.4210812287338","2.69073198634859","4.50778487398396","3.76969183289908","5.39571086280832","4.59982346854178","5.35032756848852","9.79972942385746","7.00452704649389","6.13798275623874","7.41516619501858","8.0170966735238","3.28694295607556","4.4181161127847","4.23145040558127","2.58406765170252","3.74439769401842","9.16732175793032","9.49802017822959","","","","","13.9096319853073","15.0722430259145","20.2138304680515","19.1322306984425","28.6328287611969","29.3470245693337","27.5332968183192","24.5487596003826","28.4247770777753","29.2208671962677","31.6721621676578","29.5891271815497","26.9490282779849","20.2267742917703","14.2199094005691","15.2479478095863","14.021451546155","19.4722958612996","15.0581614433075","12.5265963328768","13.2219880660707","16.2486173322943","14.2246705233166","16.2779006145141","20.3464075958101","14.6471991262524","15.4369713052827","14.263426134373","20.4830150034855","19.3357941776107","23.0628494235083",
"Brazil","BRA","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","71.1492702853386","73.75692538064","69.2942091293152","67.3380646160567","68.9148590942565","68.0054225021258","68.7669676592221","64.6203396768154","63.250158532868","59.9259809391986","62.7107768345501","61.7435166047286","57.8889466041662","54.08409353435","59.5912497482459","61.5943011265199","51.9676790617163","46.544717380751","46.2633216405115","41.373800806008","39.6311656684802","40.3111434729673","38.7654904795721","36.7737093487038","34.4142519733537","32.2939207340769","","27.2574869801362","27.6883307686545","24.9305704541775","25.4000855313584","25.2688059972978","28.9418032890941","28.5099615661989","29.8988013632821","30.9664994980283","29.6175199784671","28.7338632317001","23.2364728342679","27.4725847081467","27.7626401163879","28.5324118669803","27.8816714191857","25.6748714047216","24.919964870428","26.3199672946763","27.7025022922255","34.1353062695048","30.3357630570466","30.4908707615954","32.3415443302793","35.2969912547616","35.6522920747707","37.9778956806647","37.8781906668221","36.1004202021097","34.6388149937206","34.5257195124328","38.9094713157649","34.7771632382264","39.5273943444507",
